t,type,info,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
29.798,hid,"18,20,22,23,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,247,255,7,0,3,0,162,1,5,13,106,11,0,0
29.814,hid,"18,20,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,244,255,10,0,3,0,165,1,247,12,98,11,0,0
29.83,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,235,255,11,0,4,0,153,1,249,12,109,11,0,0
29.845,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,233,255,6,0,3,0,159,1,240,12,127,11,0,0
29.876,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,223,255,3,0,2,0,165,1,242,12,124,11,0,0
29.891,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,233,255,7,0,3,0,160,1,240,12,125,11,0,0
29.908,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,235,255,12,0,1,0,158,1,247,12,120,11,0,0
29.939,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,244,255,10,0,3,0,151,1,223,12,147,11,0,0
29.971,hid,"18,20,22,23,24,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,247,255,2,0,254,255,156,1,223,12,130,11,0,0
29.987,hid,"16,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,159,222,240,255,3,0,255,255,160,1,242,12,114,11,0,0
30.018,hid,"18,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,159,222,250,255,3,0,254,255,151,1,223,12,157,11,0,0
