t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
4.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.512
4.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.492
4.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.473
5.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.454
5.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.437
5.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.42
5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.403
5.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.387
5.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.372
5.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.358
5.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.343
5.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.33
5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.317
5.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.305
5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.293
5.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.281
5.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.27
5.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.26
5.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.249
5.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.24
5.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.23
5.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.221
5.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.213
5.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.204
5.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.196
5.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.189
