t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
5.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.122
5.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.117
5.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.113
5.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.108
5.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.104
5.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1
5.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.096
5.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.092
5.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.089
5.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.085
5.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.082
5.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.079
5.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.075
5.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.072
5.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.07
5.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.067
5.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.064
5.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.062
5.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.059
5.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.057
5.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.055
5.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.053
5.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.051
5.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.049
5.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.047
5.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.045
5.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.043
5.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.041
5.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.04
5.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.038
5.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.037
5.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.035
5.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.034
5.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.033
5.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.031
5.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.03
